noOfBedRoom,rent,propertyType,areaSqft,y,x,areaSqm,leaseDate,street,project,district
NA,11645,Non-landed Properties,1600-1700,32559.33503,27107.4972,150-160,1224,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
4,12649,Non-landed Properties,2200-2300,32559.33503,27107.4972,200-210,1224,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
NA,18984,Non-landed Properties,1500-1600,32559.33503,27107.4972,140-150,1224,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
NA,11645,Non-landed Properties,1900-2000,32559.33503,27107.4972,180-190,1024,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
4,13108,Non-landed Properties,2000-2100,32559.33503,27107.4972,190-200,1024,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
NA,10269,Non-landed Properties,1600-1700,32559.33503,27107.4972,150-160,1224,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
NA,10085,Non-landed Properties,1600-1700,32559.33503,27107.4972,150-160,1124,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
NA,11528,Non-landed Properties,1600-1700,32559.33503,27107.4972,150-160,1024,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
4,14500,Non-landed Properties,2100-2200,32559.33503,27107.4972,190-200,1124,LADY HILL ROAD,SHANGRI-LA RESIDENCES,10
4,4600,Non-landed Properties,1300-1400,32580.40016,36308.351,120-130,1124,LORONG L TELOK KURAU,SUNSHINE LOFT,15
NA,3450,Non-landed Properties,1100-1200,37427.10251,32687.47201,100-110,1024,LIM TUA TOW ROAD,CASA RIVIERA,19
NA,4000,Non-landed Properties,1200-1300,37427.10251,32687.47201,110-120,1124,LIM TUA TOW ROAD,CASA RIVIERA,19
NA,6000,Terrace House,3000-3500,39775.0391479049,27989.3222831115,250-300,1224,ANG MO KIO AVENUE 2,HORIZON GREEN,20
1,3200,Non-landed Properties,600-700,30989.74224,32570.66612,50-60,1224,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
1,3000,Non-landed Properties,600-700,30989.74224,32570.66612,50-60,1024,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,5100,Non-landed Properties,1200-1300,30989.74224,32570.66612,110-120,1024,TANJONG RHU ROAD,TANJONG RIA CONDOMINIUM,15
3,4250,Non-landed Properties,1200-1300,32655.63524,39140.90324,110-120,1224,MARINE PARADE ROAD,TAIPAN GRAND,15
NA,50000,Detached House,>8000,31444.09555,26368.21822,750-800,1124,TANGLIN ROAD,LANDED HOUSING DEVELOPMENT,10
3,4800,Non-landed Properties,1200-1300,45628.2799,22719.76543,110-120,1024,ROSEWOOD DRIVE,ROSEWOOD SUITES,25
4,16000,Non-landed Properties,1600-1700,28835.93389,29379.37798,150-160,1124,WALLICH STREET,WALLICH RESIDENCE,02
3,10400,Non-landed Properties,1000-1100,28835.93389,29379.37798,100-110,1224,WALLICH STREET,WALLICH RESIDENCE,02
1,7700,Non-landed Properties,600-700,28835.93389,29379.37798,50-60,1024,WALLICH STREET,WALLICH RESIDENCE,02
3,14000,Non-landed Properties,1300-1400,28835.93389,29379.37798,120-130,1024,WALLICH STREET,WALLICH RESIDENCE,02
3,13000,Non-landed Properties,1300-1400,28835.93389,29379.37798,120-130,1024,WALLICH STREET,WALLICH RESIDENCE,02
3,10000,Non-landed Properties,1000-1100,28835.93389,29379.37798,100-110,1024,WALLICH STREET,WALLICH RESIDENCE,02
1,7000,Non-landed Properties,600-700,28835.93389,29379.37798,50-60,1024,WALLICH STREET,WALLICH RESIDENCE,02
1,6600,Non-landed Properties,600-700,28835.93389,29379.37798,50-60,1024,WALLICH STREET,WALLICH RESIDENCE,02
3,17200,Non-landed Properties,1300-1400,28835.93389,29379.37798,120-130,1024,WALLICH STREET,WALLICH RESIDENCE,02
2,11000,Non-landed Properties,900-1000,28835.93389,29379.37798,80-90,1024,WALLICH STREET,WALLICH RESIDENCE,02
1,7300,Non-landed Properties,600-700,28835.93389,29379.37798,50-60,1024,WALLICH STREET,WALLICH RESIDENCE,02
3,17000,Non-landed Properties,1700-1800,28835.93389,29379.37798,160-170,1124,WALLICH STREET,WALLICH RESIDENCE,02
4,5000,Non-landed Properties,1500-1600,34398.78892,31474.68208,130-140,1024,ST. MICHAEL'S ROAD,RIVERSIDE MELODIES,12
NA,12500,Terrace House,2000-2500,,,200-250,1024,JALAN MUTIARA,LANDED HOUSING DEVELOPMENT,10
NA,8800,Terrace House,1500-2000,,,150-200,1124,CHEOW KENG ROAD,CHEOW KENG GARDEN,15
3,4600,Non-landed Properties,1000-1100,33337.25117,27530.10736,90-100,1024,EWE BOON ROAD,CLIFTEN,10
