noOfUnits,tenure,marketSegment,typeOfSale,district,nettPrice,x,propertyType,price,project,y,floorRange,area,street,contractDate,typeOfArea
1,Freehold,CCR,3,10,,27709.58839,Apartment,2400000,RESIDENTIAL APARTMENTS,32445.73724,01-05,106,DRAYCOTT DRIVE,0521,Strata
1,Freehold,CCR,3,10,,27709.58839,Apartment,4800000,RESIDENTIAL APARTMENTS,32445.73724,01-05,197,DRAYCOTT DRIVE,0122,Strata
1,Freehold,CCR,3,10,,27709.58839,Apartment,3600000,RESIDENTIAL APARTMENTS,32445.73724,06-10,140,DRAYCOTT DRIVE,0222,Strata
1,Freehold,CCR,3,10,,27709.58839,Apartment,3400000,RESIDENTIAL APARTMENTS,32445.73724,06-10,134,DRAYCOTT DRIVE,0323,Strata
1,Freehold,CCR,3,10,,27709.58839,Apartment,2500000,RESIDENTIAL APARTMENTS,32445.73724,11-15,106,DRAYCOTT DRIVE,0423,Strata
1,Freehold,CCR,3,10,,27709.58839,Apartment,3800000,RESIDENTIAL APARTMENTS,32445.73724,01-05,140,DRAYCOTT DRIVE,1022,Strata
1,Freehold,CCR,3,10,,27709.58839,Apartment,5000000,RESIDENTIAL APARTMENTS,32445.73724,06-10,197,DRAYCOTT DRIVE,0724,Strata
1,Freehold,CCR,3,10,,27709.58839,Apartment,3360000,RESIDENTIAL APARTMENTS,32445.73724,11-15,134,DRAYCOTT DRIVE,0724,Strata
1,Freehold,CCR,3,10,,27709.58839,Apartment,3300000,RESIDENTIAL APARTMENTS,32445.73724,01-05,134,DRAYCOTT DRIVE,0524,Strata
1,Freehold,CCR,3,10,,27709.58839,Apartment,2700000,RESIDENTIAL APARTMENTS,32445.73724,06-10,106,DRAYCOTT DRIVE,0325,Strata
1,Freehold,CCR,3,10,,27709.58839,Apartment,3900000,RESIDENTIAL APARTMENTS,32445.73724,01-05,140,DRAYCOTT DRIVE,0525,Strata
